"outcome_concept_id","snomed_outcome_concept_id","concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
35708164,4183041,35708164,"Abdominal discomfort","Condition","MedDRA","PT","C",10000059,"1970-01-01","2099-12-31",""
35708154,200219,35708154,"Abdominal pain","Condition","MedDRA","PT","C",10000081,"1970-01-01","2099-12-31",""
35708156,4306292,35708156,"Abdominal pain upper","Condition","MedDRA","PT","C",10000087,"1970-01-01","2099-12-31",""
35909443,200765,35909443,"Cholecystitis chronic","Condition","MedDRA","PT","C",10008617,"1970-01-01","2099-12-31",""
35909445,4145627,35909445,"Cholelithiasis","Condition","MedDRA","PT","C",10008629,"1970-01-01","2099-12-31",""
35708093,196523,35708093,"Diarrhoea","Condition","MedDRA","PT","C",10012735,"1970-01-01","2099-12-31",""
35708139,197913,35708139,"Dyspepsia","Condition","MedDRA","PT","C",10013946,"1970-01-01","2099-12-31",""
36211303,432795,36211303,"Injury","Condition","MedDRA","PT","C",10022116,"1970-01-01","2099-12-31",""
35708128,75576,35708128,"Irritable bowel syndrome","Condition","MedDRA","PT","C",10023003,"1970-01-01","2099-12-31",""
35809243,4329041,35809243,"Pain","Condition","MedDRA","PT","C",10033371,"1970-01-01","2099-12-31",""
36110716,195588,36110716,"Cystitis","Condition","MedDRA","PT","C",10011781,"1970-01-01","2099-12-31",""
37019425,79864,37019425,"Haematuria","Condition","MedDRA","PT","C",10018867,"1970-01-01","2099-12-31",""
35406368,378444,35406368,"Hearing impaired","Condition","MedDRA","PT","C",10019245,"1970-01-01","2099-12-31",""
35809059,434489,35809059,"Death","Condition","MedDRA","PT","C",10011906,"1970-01-01","2099-12-31",""
35708038,4272488,35708038,"Colitis","Condition","MedDRA","PT","C",10009887,"1970-01-01","2099-12-31",""
35707700,4141224,35707700,"Diverticulitis","Condition","MedDRA","PT","C",10013538,"1970-01-01","2099-12-31",""
36516828,81931,36516828,"Psoriatic arthropathy","Condition","MedDRA","PT","C",10037162,"1970-01-01","2099-12-31",""
35708256,197603,35708256,"Volvulus","Condition","MedDRA","PT","C",10047697,"1970-01-01","2099-12-31",""
35204953,313217,35204953,"Atrial fibrillation","Condition","MedDRA","PT","C",10003658,"1970-01-01","2099-12-31",""
36718179,443432,36718179,"Cognitive disorder","Condition","MedDRA","PT","C",10057668,"1970-01-01","2099-12-31",""
36416606,435796,36416606,"Dehydration","Condition","MedDRA","PT","C",10012174,"1970-01-01","2099-12-31",""
35809076,439926,35809076,"Fatigue","Condition","MedDRA","PT","C",10016256,"1970-01-01","2099-12-31",""
36718119,372887,36718119,"Encephalopathy","Condition","MedDRA","PT","C",10014625,"1970-01-01","2099-12-31",""
37119691,4339088,37119691,"Testicular swelling","Condition","MedDRA","PT","C",10043354,"1970-01-01","2099-12-31",""
37622518,437312,37622518,"Haemorrhage","Condition","MedDRA","PT","C",10055798,"1970-01-01","2099-12-31",""
35205038,4024567,35205038,"Dyspnoea","Condition","MedDRA","PT","C",10013968,"1970-01-01","2099-12-31",""
37622545,312349,37622545,"Varicose vein","Condition","MedDRA","PT","C",10046996,"1970-01-01","2099-12-31",""
35204976,442289,35204976,"Sudden death","Condition","MedDRA","PT","C",10042434,"1970-01-01","2099-12-31",""
35809082,434490,35809082,"Chills","Condition","MedDRA","PT","C",10008531,"1970-01-01","2099-12-31",""
37320158,137193,37320158,"Erythema","Condition","MedDRA","PT","C",10015150,"1970-01-01","2099-12-31",""
35205236,133299,35205236,"Oedema peripheral","Condition","MedDRA","PT","C",10030124,"1970-01-01","2099-12-31",""
36516959,138525,36516959,"Pain in extremity","Condition","MedDRA","PT","C",10033425,"1970-01-01","2099-12-31",""
36918858,441542,36918858,"Anxiety","Condition","MedDRA","PT","C",10002855,"1970-01-01","2099-12-31",""
36919046,4076636,36919046,"Emotional distress","Condition","MedDRA","PT","C",10049119,"1970-01-01","2099-12-31",""
36918869,4029621,36918869,"Fear","Condition","MedDRA","PT","C",10016275,"1970-01-01","2099-12-31",""
37219905,4306572,37219905,"Hypoxia","Condition","MedDRA","PT","C",10021143,"1970-01-01","2099-12-31",""
36919117,432586,36919117,"Mental disorder","Condition","MedDRA","PT","C",10061284,"1970-01-01","2099-12-31",""
37219871,440417,37219871,"Pulmonary embolism","Condition","MedDRA","PT","C",10037377,"1970-01-01","2099-12-31",""
35205037,135360,35205037,"Syncope","Condition","MedDRA","PT","C",10042772,"1970-01-01","2099-12-31",""
36918942,440383,36918942,"Depression","Condition","MedDRA","PT","C",10012378,"1970-01-01","2099-12-31",""
37622408,4200991,37622408,"Ischaemia","Condition","MedDRA","PT","C",10061255,"1970-01-01","2099-12-31",""
35708351,4317289,35708351,"Mesenteric vein thrombosis","Condition","MedDRA","PT","C",10027402,"1970-01-01","2099-12-31",""
35909568,199837,35909568,"Portal vein thrombosis","Condition","MedDRA","PT","C",10036206,"1970-01-01","2099-12-31",""
37622460,4231363,37622460,"Thrombosis","Condition","MedDRA","PT","C",10043607,"1970-01-01","2099-12-31",""
36110642,132797,36110642,"Sepsis","Condition","MedDRA","PT","C",10040047,"1970-01-01","2099-12-31",""
36110534,444202,36110534,"Abscess","Condition","MedDRA","PT","C",10000269,"1970-01-01","2099-12-31",""
36416514,442165,36416514,"Decreased appetite","Condition","MedDRA","PT","C",10061428,"1970-01-01","2099-12-31",""
37119644,4021670,37119644,"Perineal pain","Condition","MedDRA","PT","C",10061339,"1970-01-01","2099-12-31",""
36313276,4013842,36313276,"Red blood cell count decreased","Condition","MedDRA","PT","C",10038153,"1970-01-01","2099-12-31",""
35708311,4341631,35708311,"Small intestinal perforation","Condition","MedDRA","PT","C",10041103,"1970-01-01","2099-12-31",""
36110709,4234533,36110709,"Tonsillitis","Condition","MedDRA","PT","C",10044008,"1970-01-01","2099-12-31",""
36313476,435224,36313476,"White blood cell count decreased","Condition","MedDRA","PT","C",10047942,"1970-01-01","2099-12-31",""
37119548,4302555,37119548,"Menorrhagia","Condition","MedDRA","PT","C",10027313,"1970-01-01","2099-12-31",""
35506587,196168,35506587,"Menstruation irregular","Condition","MedDRA","PT","C",10027339,"1970-01-01","2099-12-31",""
35205180,312327,35205180,"Acute myocardial infarction","Condition","MedDRA","PT","C",10000891,"1970-01-01","2099-12-31",""
36009757,441202,36009757,"Anaphylactic shock","Condition","MedDRA","PT","C",10002199,"1970-01-01","2099-12-31",""
35204966,321042,35204966,"Cardiac arrest","Condition","MedDRA","PT","C",10007515,"1970-01-01","2099-12-31",""
35204970,4256374,35204970,"Cardio-respiratory arrest","Condition","MedDRA","PT","C",10007617,"1970-01-01","2099-12-31",""
37219907,254761,37219907,"Cough","Condition","MedDRA","PT","C",10011224,"1970-01-01","2099-12-31",""
37019316,4090272,37019316,"Oliguria","Condition","MedDRA","PT","C",10030302,"1970-01-01","2099-12-31",""
35205258,438791,35205258,"Pulmonary congestion","Condition","MedDRA","PT","C",10037368,"1970-01-01","2099-12-31",""
35809190,434821,35809190,"Systemic inflammatory response syndrome","Condition","MedDRA","PT","C",10051379,"1970-01-01","2099-12-31",""
35607483,4079185,35607483,"Vision blurred","Condition","MedDRA","PT","C",10047513,"1970-01-01","2099-12-31",""
37320268,133280,37320268,"Alopecia","Condition","MedDRA","PT","C",10001760,"1970-01-01","2099-12-31",""
36516779,4291025,36516779,"Arthritis","Condition","MedDRA","PT","C",10003246,"1970-01-01","2099-12-31",""
35809104,437643,35809104,"Gait disturbance","Condition","MedDRA","PT","C",10017577,"1970-01-01","2099-12-31",""
36211273,381732,36211273,"Nerve injury","Condition","MedDRA","PT","C",10052897,"1970-01-01","2099-12-31",""
37320193,4203600,37320193,"Photosensitivity reaction","Condition","MedDRA","PT","C",10034972,"1970-01-01","2099-12-31",""
37320197,136184,37320197,"Pruritus","Condition","MedDRA","PT","C",10037087,"1970-01-01","2099-12-31",""
37320212,140214,37320212,"Rash","Condition","MedDRA","PT","C",10037844,"1970-01-01","2099-12-31",""
37320120,135030,37320120,"Skin discolouration","Condition","MedDRA","PT","C",10040829,"1970-01-01","2099-12-31",""
37320170,135029,37320170,"Skin exfoliation","Condition","MedDRA","PT","C",10040844,"1970-01-01","2099-12-31",""
36919209,435524,36919209,"Sleep disorder","Condition","MedDRA","PT","C",10040984,"1970-01-01","2099-12-31",""
35809166,443257,35809166,"Swelling","Condition","MedDRA","PT","C",10042674,"1970-01-01","2099-12-31",""
35204928,4169095,35204928,"Bradycardia","Condition","MedDRA","PT","C",10006093,"1970-01-01","2099-12-31",""
35708100,75860,35708100,"Constipation","Condition","MedDRA","PT","C",10010774,"1970-01-01","2099-12-31",""
35506636,30361,35506636,"Hypoglycaemia","Condition","MedDRA","PT","C",10020993,"1970-01-01","2099-12-31",""
37622449,317002,37622449,"Hypotension","Condition","MedDRA","PT","C",10021097,"1970-01-01","2099-12-31",""
36111047,432250,36111047,"Viral infection","Condition","MedDRA","PT","C",10047461,"1970-01-01","2099-12-31",""
37219810,314754,37219810,"Wheezing","Condition","MedDRA","PT","C",10047924,"1970-01-01","2099-12-31",""
35205064,315564,35205064,"Aortic valve incompetence","Condition","MedDRA","PT","C",10002915,"1970-01-01","2099-12-31",""
35205185,77670,35205185,"Chest pain","Condition","MedDRA","PT","C",10008479,"1970-01-01","2099-12-31",""
35205094,443962,35205094,"Mitral valve incompetence","Condition","MedDRA","PT","C",10027727,"1970-01-01","2099-12-31",""
35708048,133283,35708048,"Pyoderma gangrenosum","Condition","MedDRA","PT","C",10037635,"1970-01-01","2099-12-31",""
35909501,194984,35909501,"Liver disorder","Condition","MedDRA","PT","C",10024670,"1970-01-01","2099-12-31",""
36718458,4154707,36718458,"Serotonin syndrome","Condition","MedDRA","PT","C",10040108,"1970-01-01","2099-12-31",""
36009797,437082,36009797,"Ankylosing spondylitis","Condition","MedDRA","PT","C",10002556,"1970-01-01","2099-12-31",""
36009814,4324123,36009814,"Cutaneous lupus erythematosus","Condition","MedDRA","PT","C",10056509,"1970-01-01","2099-12-31",""
42889647,439977,42889647,"Toxicity to various agents","Condition","MedDRA","PT","C",10070863,"2012-09-27","2099-12-31",""
35205240,316139,35205240,"Cardiac failure","Condition","MedDRA","PT","C",10007554,"1970-01-01","2099-12-31",""
36718395,4161682,36718395,"Hypoaesthesia","Condition","MedDRA","PT","C",10020937,"1970-01-01","2099-12-31",""
35909605,200762,35909605,"Autoimmune hepatitis","Condition","MedDRA","PT","C",10003827,"1970-01-01","2099-12-31",""
35909621,4055223,35909621,"Hepatitis toxic","Condition","MedDRA","PT","C",10019795,"1970-01-01","2099-12-31",""
37521030,4173649,37521030,"Hernia repair","Procedure","MedDRA","PT","C",10062003,"1970-01-01","2099-12-31",""
35707714,199074,35707714,"Pancreatitis acute","Condition","MedDRA","PT","C",10033647,"1970-01-01","2099-12-31",""
36919042,4327815,36919042,"Anger","Condition","MedDRA","PT","C",10002368,"1970-01-01","2099-12-31",""
35809072,437113,35809072,"Asthenia","Condition","MedDRA","PT","C",10003549,"1970-01-01","2099-12-31",""
36919055,4308603,36919055,"Boredom","Condition","MedDRA","PT","C",10048909,"1970-01-01","2099-12-31",""
36919050,4078201,36919050,"Mood altered","Condition","MedDRA","PT","C",10027940,"1970-01-01","2099-12-31",""
36718265,443782,36718265,"Tremor","Condition","MedDRA","PT","C",10044565,"1970-01-01","2099-12-31",""
36718288,380834,36718288,"Coma","Condition","MedDRA","PT","C",10010071,"1970-01-01","2099-12-31",""
36718301,381273,36718301,"Confusional state","Condition","MedDRA","PT","C",10010305,"1970-01-01","2099-12-31",""
36718354,4268911,36718354,"Disorientation","Condition","MedDRA","PT","C",10013395,"1970-01-01","2099-12-31",""
36718537,4106574,36718537,"Partial seizures","Condition","MedDRA","PT","C",10061334,"1970-01-01","2099-12-31",""
35708171,31317,35708171,"Dysphagia","Condition","MedDRA","PT","C",10013950,"1970-01-01","2099-12-31",""
35909505,4341657,35909505,"Liver transplant rejection","Condition","MedDRA","PT","C",10024715,"1970-01-01","2099-12-31",""
37019319,197320,37019319,"Renal failure acute","Condition","MedDRA","LLT","C",10038436,"1970-01-01","2099-12-31",""
35809139,4184149,35809139,"Irritability","Condition","MedDRA","PT","C",10022998,"1970-01-01","2099-12-31",""
36211492,4244894,36211492,"Intentional overdose","Condition","MedDRA","PT","C",10022523,"1970-01-01","2099-12-31",""
36718175,4304008,36718175,"Memory impairment","Condition","MedDRA","PT","C",10027175,"1970-01-01","2099-12-31",""
36718566,313459,36718566,"Sleep apnoea syndrome","Condition","MedDRA","PT","C",10040979,"1970-01-01","2099-12-31",""
36718321,4152347,36718321,"Somnolence","Condition","MedDRA","PT","C",10041349,"1970-01-01","2099-12-31",""
35104165,436093,35104165,"Disseminated intravascular coagulation","Condition","MedDRA","PT","C",10013442,"1970-01-01","2099-12-31",""
35708132,192357,35708132,"Ileus paralytic","Condition","MedDRA","PT","C",10021333,"1970-01-01","2099-12-31",""
35104868,435224,35104868,"Leukopenia","Condition","MedDRA","PT","C",10024384,"1970-01-01","2099-12-31",""
36416487,4245042,36416487,"Metabolic acidosis","Condition","MedDRA","PT","C",10027417,"1970-01-01","2099-12-31",""
35104883,320073,35104883,"Neutropenia","Condition","MedDRA","PT","C",10029354,"1970-01-01","2099-12-31",""
36416503,4006309,36416503,"Respiratory alkalosis","Condition","MedDRA","PT","C",10038664,"1970-01-01","2099-12-31",""
36416501,318459,36416501,"Respiratory failure","Condition","MedDRA","PT","C",10038695,"1970-01-01","2099-12-31",""
35104691,432870,35104691,"Thrombocytopenia","Condition","MedDRA","PT","C",10043554,"1970-01-01","2099-12-31",""
35809310,4196500,35809310,"Drug interaction","Observation","MedDRA","PT","C",10013710,"1970-01-01","2099-12-31",""
37019396,197684,37019396,"Dysuria","Condition","MedDRA","PT","C",10013990,"1970-01-01","2099-12-31",""
36517122,134453,36517122,"Bursitis","Condition","MedDRA","PT","C",10006811,"1970-01-01","2099-12-31",""
36718171,439147,36718171,"Amnesia","Condition","MedDRA","PT","C",10001949,"1970-01-01","2099-12-31",""
35205025,4223938,35205025,"Dizziness","Condition","MedDRA","PT","C",10013573,"1970-01-01","2099-12-31",""
36315381,4134784,36315381,"Weight increased","Measurement","MedDRA","PT","C",10047899,"1970-01-01","2099-12-31",""
35607470,373474,35607470,"Diplopia","Condition","MedDRA","PT","C",10013036,"1970-01-01","2099-12-31",""
36517026,443564,36517026,"Bone neoplasm malignant","Condition","MedDRA","LLT","C",10053650,"1970-01-01","2099-12-31",""
35708278,4265600,35708278,"Gastric ulcer","Condition","MedDRA","PT","C",10017822,"1970-01-01","2099-12-31",""
35809386,4102111,35809386,"Mass","Condition","MedDRA","PT","C",10026865,"1970-01-01","2099-12-31",""
35205319,4265190,35205319,"Dilatation ventricular","Condition","MedDRA","PT","C",10013012,"1970-01-01","2099-12-31",""
35205388,4161701,35205388,"Pericardial effusion","Condition","MedDRA","PT","C",10034474,"1970-01-01","2099-12-31",""
36110984,436145,36110984,"Pneumonia respiratory syncytial viral","Condition","MedDRA","PT","C",10035732,"1970-01-01","2099-12-31",""
37219868,4322024,37219868,"Pulmonary hypertension","Condition","MedDRA","PT","C",10037400,"1970-01-01","2099-12-31",""
37219897,4158346,37219897,"Respiratory distress","Condition","MedDRA","PT","C",10038687,"1970-01-01","2099-12-31",""
35204948,444070,35204948,"Tachycardia","Condition","MedDRA","PT","C",10043071,"1970-01-01","2099-12-31",""
35708750,4222234,35708750,"Swollen tongue","Condition","MedDRA","PT","C",10042727,"1970-01-01","2099-12-31",""
36110555,76270,36110555,"Localised infection","Condition","MedDRA","PT","C",10024774,"1970-01-01","2099-12-31",""
36110591,4028389,36110591,"Lung infection","Condition","MedDRA","PT","C",10061229,"1970-01-01","2099-12-31",""
36718197,4161417,36718197,"Bradykinesia","Condition","MedDRA","PT","C",10006100,"1970-01-01","2099-12-31",""
36718178,4111210,36718178,"Bradyphrenia","Condition","MedDRA","PT","C",10050012,"1970-01-01","2099-12-31",""
36919236,4219484,36919236,"Suicide attempt","Condition","MedDRA","PT","C",10042464,"1970-01-01","2099-12-31",""
36718220,375800,36718220,"Dystonia","Condition","MedDRA","PT","C",10013983,"1970-01-01","2099-12-31",""
36516867,4050941,36516867,"Muscle rigidity","Condition","MedDRA","PT","C",10028330,"1970-01-01","2099-12-31",""
36718362,441553,36718362,"Myoclonus","Condition","MedDRA","PT","C",10028622,"1970-01-01","2099-12-31",""
35506777,141253,35506777,"Thyroid disorder","Condition","MedDRA","PT","C",10043709,"1970-01-01","2099-12-31",""
36009738,439224,36009738,"Drug hypersensitivity","Condition","MedDRA","PT","C",10013700,"1970-01-01","2099-12-31",""
36718317,372448,36718317,"Loss of consciousness","Condition","MedDRA","PT","C",10024855,"1970-01-01","2099-12-31",""
36416610,4183738,36416610,"Fluid retention","Condition","MedDRA","PT","C",10016807,"1970-01-01","2099-12-31",""
35809225,433595,35809225,"Oedema","Condition","MedDRA","PT","C",10030095,"1970-01-01","2099-12-31",""
36110891,440022,36110891,"Dengue fever","Condition","MedDRA","PT","C",10012310,"1970-01-01","2099-12-31",""
35909613,194990,35909613,"Hepatitis","Condition","MedDRA","PT","C",10019717,"1970-01-01","2099-12-31",""
36110319,434281,36110319,"Aspergillosis","Condition","MedDRA","LLT","C",10003488,"1970-01-01","2099-12-31",""
42889658,4029819,42889658,"Foreign body","Condition","MedDRA","PT","C",10070245,"2012-09-27","2099-12-31",""
36516812,77074,36516812,"Arthralgia","Condition","MedDRA","PT","C",10003239,"1970-01-01","2099-12-31",""
36516761,4129418,36516761,"Bone pain","Condition","MedDRA","PT","C",10006002,"1970-01-01","2099-12-31",""
35809005,4316207,35809005,"Injection site pain","Condition","MedDRA","PT","C",10022086,"1970-01-01","2099-12-31",""
36516848,140821,36516848,"Muscle spasms","Condition","MedDRA","PT","C",10028334,"1970-01-01","2099-12-31",""
37019318,192359,37019318,"Renal failure","Condition","MedDRA","PT","C",10038435,"1970-01-01","2099-12-31",""
36516837,442752,36516837,"Myalgia","Condition","MedDRA","PT","C",10028411,"1970-01-01","2099-12-31",""
36009833,72994,36009833,"Rheumatoid arthritis","Condition","MedDRA","PT","C",10039073,"1970-01-01","2099-12-31",""
36211068,73574,36211068,"Fracture nonunion","Condition","MedDRA","PT","C",10017088,"1970-01-01","2099-12-31",""
37520685,4173649,37520685,"Limb operation","Procedure","MedDRA","PT","C",10061226,"1970-01-01","2099-12-31",""
35909643,4310731,35909643,"Hepatic adenoma","Condition","MedDRA","PT","C",10019629,"1970-01-01","2099-12-31",""
35708167,4263845,35708167,"Aphagia","Condition","MedDRA","PT","C",10049866,"1970-01-01","2099-12-31",""
36718372,4235891,36718372,"Burning sensation","Condition","MedDRA","PT","C",10006784,"1970-01-01","2099-12-31",""
35809079,4272240,35809079,"Malaise","Condition","MedDRA","PT","C",10025482,"1970-01-01","2099-12-31",""
36516876,79908,36516876,"Muscular weakness","Condition","MedDRA","PT","C",10028372,"1970-01-01","2099-12-31",""
36516957,4150129,36516957,"Musculoskeletal pain","Condition","MedDRA","PT","C",10028391,"1970-01-01","2099-12-31",""
36211094,442256,36211094,"Rotator cuff syndrome","Condition","MedDRA","PT","C",10039227,"1970-01-01","2099-12-31",""
36211269,141022,36211269,"Tendonitis","Condition","MedDRA","PT","C",10043255,"1970-01-01","2099-12-31",""
36617162,4112853,36617162,"Breast cancer","Condition","MedDRA","PT","C",10006187,"1970-01-01","2099-12-31",""
36516951,134736,36516951,"Back pain","Condition","MedDRA","PT","C",10003988,"1970-01-01","2099-12-31",""
36211383,443720,36211383,"Blister","Condition","MedDRA","PT","C",10005191,"1970-01-01","2099-12-31",""
36718132,375527,36718132,"Headache","Condition","MedDRA","PT","C",10019211,"1970-01-01","2099-12-31",""
37320285,443793,37320285,"Hypertrichosis","Condition","MedDRA","PT","C",10020864,"1970-01-01","2099-12-31",""
36919197,4087317,36919197,"Loss of libido","Condition","MedDRA","PT","C",10024870,"1970-01-01","2099-12-31",""
37119769,4155070,37119769,"Vaginal discharge","Condition","MedDRA","PT","C",10046901,"1970-01-01","2099-12-31",""
35607485,373786,35607485,"Visual impairment","Condition","MedDRA","PT","C",10047571,"1970-01-01","2099-12-31",""
36315380,435928,36315380,"Weight decreased","Measurement","MedDRA","PT","C",10047895,"1970-01-01","2099-12-31",""
42889376,4127402,42889376,"Device expulsion","Observation","MedDRA","PT","C",10012578,"2012-09-27","2099-12-31",""
36919199,439080,36919199,"Dyspareunia","Condition","MedDRA","PT","C",10013941,"1970-01-01","2099-12-31",""
36110520,199067,36110520,"Pelvic inflammatory disease","Condition","MedDRA","PT","C",10034254,"1970-01-01","2099-12-31",""
36211681,435141,36211681,"Post procedural haemorrhage","Condition","MedDRA","PT","C",10051077,"1970-01-01","2099-12-31",""
36009783,139900,36009783,"Urticaria","Condition","MedDRA","PT","C",10046735,"1970-01-01","2099-12-31",""
36211555,79240,36211555,"Device dislocation","Observation","MedDRA","PT","C",10064684,"1970-01-01","2099-12-31",""
37119745,198212,37119745,"Vaginal haemorrhage","Condition","MedDRA","PT","C",10046910,"1970-01-01","2099-12-31",""
36110722,198199,36110722,"Pyelonephritis","Condition","MedDRA","PT","C",10037596,"1970-01-01","2099-12-31",""
36110649,196236,36110649,"Septic shock","Condition","MedDRA","PT","C",10040070,"1970-01-01","2099-12-31",""
37622442,201965,37622442,"Circulatory collapse","Condition","MedDRA","PT","C",10009192,"1970-01-01","2099-12-31",""
37622465,4133004,37622465,"Deep vein thrombosis","Condition","MedDRA","PT","C",10051055,"1970-01-01","2099-12-31",""
36617309,4168352,36617309,"Neoplasm progression","Condition","MedDRA","PT","C",10061309,"1970-01-01","2099-12-31",""
36617748,4177115,36617748,"Testis cancer","Condition","MedDRA","PT","C",10057644,"1970-01-01","2099-12-31",""
36312077,4086587,36312077,"Blood pressure increased","Measurement","MedDRA","PT","C",10005750,"1970-01-01","2099-12-31",""
35708202,31967,35708202,"Nausea","Condition","MedDRA","PT","C",10028813,"1970-01-01","2099-12-31",""
35708208,441408,35708208,"Vomiting","Condition","MedDRA","PT","C",10047700,"1970-01-01","2099-12-31",""
36110736,81902,36110736,"Urinary tract infection","Condition","MedDRA","PT","C",10046571,"1970-01-01","2099-12-31",""
36009762,432791,36009762,"Angioedema","Condition","MedDRA","PT","C",10002424,"1970-01-01","2099-12-31",""
35607106,438411,35607106,"Endophthalmitis","Condition","MedDRA","PT","C",10014801,"1970-01-01","2099-12-31",""
36211297,436583,36211297,"Fall","Condition","MedDRA","PT","C",10016173,"1970-01-01","2099-12-31",""
36211099,442560,36211099,"Femur fracture","Condition","MedDRA","PT","C",10016454,"1970-01-01","2099-12-31",""
36416550,4195039,36416550,"Osteopenia","Condition","MedDRA","PT","C",10049088,"1970-01-01","2099-12-31",""
37119714,433527,37119714,"Endometriosis","Condition","MedDRA","PT","C",10014778,"1970-01-01","2099-12-31",""
36312070,317002,36312070,"Blood pressure decreased","Measurement","MedDRA","PT","C",10005734,"1970-01-01","2099-12-31",""
36718285,441417,36718285,"Coordination abnormal","Condition","MedDRA","PT","C",10010947,"1970-01-01","2099-12-31",""
35708690,4226991,35708690,"Dry mouth","Condition","MedDRA","PT","C",10013781,"1970-01-01","2099-12-31",""
36718556,4282607,36718556,"Middle insomnia","Condition","MedDRA","PT","C",10027590,"1970-01-01","2099-12-31",""
35205036,4142895,35205036,"Presyncope","Condition","MedDRA","PT","C",10036653,"1970-01-01","2099-12-31",""
36315363,4314808,36315363,"Respiratory rate decreased","Measurement","MedDRA","PT","C",10038710,"1970-01-01","2099-12-31",""
36718433,40481354,36718433,"Speech disorder","Condition","MedDRA","PT","C",10041466,"1970-01-01","2099-12-31",""
35809098,435170,35809098,"Thirst","Condition","MedDRA","PT","C",10043458,"1970-01-01","2099-12-31",""
36211208,192763,36211208,"Vascular injury","Condition","MedDRA","PT","C",10047080,"1970-01-01","2099-12-31",""
35204924,316999,35204924,"Arrhythmia","Condition","MedDRA","PT","C",10003119,"1970-01-01","2099-12-31",""
36718298,440424,36718298,"Aphasia","Condition","MedDRA","PT","C",10002948,"1970-01-01","2099-12-31",""
36718355,4266842,36718355,"Drooling","Condition","MedDRA","PT","C",10013642,"1970-01-01","2099-12-31",""
36211312,136497,36211312,"Scar","Condition","MedDRA","PT","C",10039580,"1970-01-01","2099-12-31",""
37320127,4316083,37320127,"Skin lesion","Condition","MedDRA","PT","C",10040882,"1970-01-01","2099-12-31",""
36718211,372604,36718211,"Movement disorder","Condition","MedDRA","PT","C",10028035,"1970-01-01","2099-12-31",""
35205184,77670,35205184,"Chest discomfort","Condition","MedDRA","PT","C",10008469,"1970-01-01","2099-12-31",""
36516958,24134,36516958,"Neck pain","Condition","MedDRA","PT","C",10028836,"1970-01-01","2099-12-31",""
37219945,4024567,37219945,"Respiratory disorder","Condition","MedDRA","PT","C",10038683,"1970-01-01","2099-12-31",""
36617702,4163261,36617702,"Prostate cancer","Condition","MedDRA","PT","C",10060862,"1970-01-01","2099-12-31",""
36718379,137682,36718379,"Paraesthesia","Condition","MedDRA","PT","C",10033775,"1970-01-01","2099-12-31",""
