"standard_concept_id","concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
571187,571187,"OspA protein","Drug","RxNorm","Ingredient","S",54214,"1970-01-01","2099-12-31",""
581480,581480,"pegademase bovine","Drug","RxNorm","Ingredient","S",59768,"1970-01-01","2099-12-31",""
586413,586413,"pneumococcal polysaccharides (23)","Drug","RxNorm","Ingredient","S",221144,"1970-01-01","2099-12-31",""
586491,586491,"cytomegalovirus immune globulin","Drug","RxNorm","Ingredient","S",22178,"1970-01-01","2099-12-31",""
590675,590675,"MEASLES VIRUS VACCINE,LIVE ATTENUATED","Drug","RxNorm","Ingredient","S",235574,"1970-01-01","2099-12-31",""
594249,594249,"Measles Vaccine","Drug","RxNorm","Ingredient","S",6669,"1970-01-01","2099-12-31",""
595252,595252,"Cholera Vaccine","Drug","RxNorm","Ingredient","S",2427,"1970-01-01","2099-12-31",""
596876,596876,"Hepatitis A Vaccine, Inactivated","Drug","RxNorm","Ingredient","S",253174,"1970-01-01","2099-12-31",""
700253,700253,"Thiopental","Drug","RxNorm","Ingredient","S",10493,"1970-01-01","2099-12-31",""
700299,700299,"Thioridazine","Drug","RxNorm","Ingredient","S",10502,"1970-01-01","2099-12-31",""
700465,700465,"Thiothixene","Drug","RxNorm","Ingredient","S",10510,"1970-01-01","2099-12-31",""
701322,701322,"Memantine","Drug","RxNorm","Ingredient","S",6719,"1970-01-01","2099-12-31",""
702661,702661,"Mephenytoin","Drug","RxNorm","Ingredient","S",6757,"1970-01-01","2099-12-31",""
702685,702685,"Mephobarbital","Drug","RxNorm","Ingredient","S",6758,"1970-01-01","2099-12-31",""
702774,702774,"Mepivacaine","Drug","RxNorm","Ingredient","S",6759,"1970-01-01","2099-12-31",""
702865,702865,"Meprobamate","Drug","RxNorm","Ingredient","S",6760,"1970-01-01","2099-12-31",""
703083,703083,"Mesoridazine","Drug","RxNorm","Ingredient","S",6779,"1970-01-01","2099-12-31",""
703244,703244,"paliperidone","Drug","RxNorm","Ingredient","S",679314,"2007-01-28","2099-12-31",""
703470,703470,"Tranylcypromine","Drug","RxNorm","Ingredient","S",10734,"1970-01-01","2099-12-31",""
703547,703547,"Trazodone","Drug","RxNorm","Ingredient","S",10737,"1970-01-01","2099-12-31",""
704053,704053,"Methamphetamine","Drug","RxNorm","Ingredient","S",6816,"1970-01-01","2099-12-31",""
704599,704599,"Triazolam","Drug","RxNorm","Ingredient","S",10767,"1970-01-01","2099-12-31",""
704943,704943,"Methocarbamol","Drug","RxNorm","Ingredient","S",6845,"1970-01-01","2099-12-31",""
704984,704984,"Trifluoperazine","Drug","RxNorm","Ingredient","S",10800,"1970-01-01","2099-12-31",""
705103,705103,"lamotrigine","Drug","RxNorm","Ingredient","S",28439,"1970-01-01","2099-12-31",""
705178,705178,"Trihexyphenidyl","Drug","RxNorm","Ingredient","S",10811,"1970-01-01","2099-12-31",""
705219,705219,"HYLAN G-F 20","Drug","RxNorm","Ingredient","S",284637,"2008-04-27","2099-12-31",""
705755,705755,"Trimipramine","Drug","RxNorm","Ingredient","S",10834,"1970-01-01","2099-12-31",""
705944,705944,"Methylphenidate","Drug","RxNorm","Ingredient","S",6901,"1970-01-01","2099-12-31",""
706644,706644,"Tubocurarine","Drug","RxNorm","Ingredient","S",10917,"1970-01-01","2099-12-31",""
708298,708298,"Midazolam","Drug","RxNorm","Ingredient","S",6960,"1970-01-01","2099-12-31",""
709567,709567,"Lisdexamfetamine","Drug","RxNorm","Ingredient","S",700810,"2007-04-29","2099-12-31",""
709699,709699,"Molindone","Drug","RxNorm","Ingredient","S",7019,"1970-01-01","2099-12-31",""
710062,710062,"Amitriptyline","Drug","RxNorm","Ingredient","S",704,"1970-01-01","2099-12-31",""
710650,710650,"modafinil","Drug","RxNorm","Ingredient","S",30125,"1970-01-01","2099-12-31",""
711452,711452,"Benzoate","Drug","RxNorm","Ingredient","S",70589,"2006-05-14","2099-12-31",""
711584,711584,"Levetiracetam","Drug","RxNorm","Ingredient","S",114477,"1970-01-01","2099-12-31",""
711714,711714,"Dantrolene","Drug","RxNorm","Ingredient","S",3105,"1970-01-01","2099-12-31",""
712615,712615,"ziprasidone","Drug","RxNorm","Ingredient","S",115698,"1970-01-01","2099-12-31",""
712757,712757,"Amobarbital","Drug","RxNorm","Ingredient","S",719,"1970-01-01","2099-12-31",""
713109,713109,"Amoxapine","Drug","RxNorm","Ingredient","S",722,"1970-01-01","2099-12-31",""
713192,713192,"fosphenytoin","Drug","RxNorm","Ingredient","S",72236,"1970-01-01","2099-12-31",""
713196,713196,"interferon beta-1b","Drug","RxNorm","Ingredient","S",72257,"1970-01-01","2099-12-31",""
713823,713823,"ropinirole","Drug","RxNorm","Ingredient","S",72302,"1970-01-01","2099-12-31",""
714684,714684,"nefazodone","Drug","RxNorm","Ingredient","S",31565,"1970-01-01","2099-12-31",""
714785,714785,"Amphetamine","Drug","RxNorm","Ingredient","S",725,"1970-01-01","2099-12-31",""
715233,715233,"Baclofen","Drug","RxNorm","Ingredient","S",1292,"1970-01-01","2099-12-31",""
715259,715259,"duloxetine","Drug","RxNorm","Ingredient","S",72625,"1970-01-01","2099-12-31",""
715458,715458,"tiagabine","Drug","RxNorm","Ingredient","S",31914,"1970-01-01","2099-12-31",""
715710,715710,"rasagiline","Drug","RxNorm","Ingredient","S",134748,"2006-02-26","2099-12-31",""
715727,715727,"tolcapone","Drug","RxNorm","Ingredient","S",72937,"1970-01-01","2099-12-31",""
715939,715939,"Escitalopram","Drug","RxNorm","Ingredient","S",321988,"1970-01-01","2099-12-31",""
715997,715997,"donepezil","Drug","RxNorm","Ingredient","S",135447,"1970-01-01","2099-12-31",""
716968,716968,"Desipramine","Drug","RxNorm","Ingredient","S",3247,"1970-01-01","2099-12-31",""
717136,717136,"Neostigmine","Drug","RxNorm","Ingredient","S",7315,"1970-01-01","2099-12-31",""
717607,717607,"Desvenlafaxine","Drug","RxNorm","Ingredient","S",734064,"2008-04-27","2099-12-31",""
718122,718122,"oxcarbazepine","Drug","RxNorm","Ingredient","S",32624,"1970-01-01","2099-12-31",""
718583,718583,"Nicotine","Drug","RxNorm","Ingredient","S",7407,"1970-01-01","2099-12-31",""
719057,719057,"Dexfenfluramine","Drug","RxNorm","Ingredient","S",3268,"1970-01-01","2099-12-31",""
719128,719128,"Benzphetamine","Drug","RxNorm","Ingredient","S",1422,"1970-01-01","2099-12-31",""
719174,719174,"Benztropine","Drug","RxNorm","Ingredient","S",1424,"1970-01-01","2099-12-31",""
719311,719311,"Dextroamphetamine","Drug","RxNorm","Ingredient","S",3288,"1970-01-01","2099-12-31",""
720727,720727,"zaleplon","Drug","RxNorm","Ingredient","S",74667,"1970-01-01","2099-12-31",""
720810,720810,"Pramipexole","Drug","RxNorm","Ingredient","S",746741,"2007-12-30","2099-12-31",""
721724,721724,"Nortriptyline","Drug","RxNorm","Ingredient","S",7531,"1970-01-01","2099-12-31",""
722031,722031,"Paroxetine","Drug","RxNorm","Ingredient","S",32937,"1970-01-01","2099-12-31",""
722424,722424,"Interferon beta-1a","Drug","RxNorm","Ingredient","S",75917,"1970-01-01","2099-12-31",""
723013,723013,"Diazepam","Drug","RxNorm","Ingredient","S",3322,"1970-01-01","2099-12-31",""
723344,723344,"phendimetrazine","Drug","RxNorm","Ingredient","S",33272,"1970-01-01","2099-12-31",""
724394,724394,"Orphenadrine","Drug","RxNorm","Ingredient","S",7715,"1970-01-01","2099-12-31",""
724816,724816,"Oxazepam","Drug","RxNorm","Ingredient","S",7781,"1970-01-01","2099-12-31",""
724908,724908,"Biperiden","Drug","RxNorm","Ingredient","S",1589,"1970-01-01","2099-12-31",""
725131,725131,"Mirtazapine","Drug","RxNorm","Ingredient","S",15996,"1970-01-01","2099-12-31",""
725822,725822,"Diethylpropion","Drug","RxNorm","Ingredient","S",3389,"1970-01-01","2099-12-31",""
727835,727835,"Pemoline","Drug","RxNorm","Ingredient","S",7966,"1970-01-01","2099-12-31",""
729855,729855,"Botulinum Toxin Type A","Drug","RxNorm","Ingredient","S",1712,"1970-01-01","2099-12-31",""
729959,729959,"botulinum toxin type B","Drug","RxNorm","Ingredient","S",1713,"1970-01-01","2099-12-31",""
730548,730548,"Bromocriptine","Drug","RxNorm","Ingredient","S",1760,"1970-01-01","2099-12-31",""
730729,730729,"Pentobarbital","Drug","RxNorm","Ingredient","S",8004,"1970-01-01","2099-12-31",""
731188,731188,"quazepam","Drug","RxNorm","Ingredient","S",35185,"1970-01-01","2099-12-31",""
731533,731533,"dexmethylphenidate","Drug","RxNorm","Ingredient","S",352372,"1970-01-01","2099-12-31",""
732309,732309,"Pergolide","Drug","RxNorm","Ingredient","S",8047,"1970-01-01","2099-12-31",""
732893,732893,"Bupivacaine","Drug","RxNorm","Ingredient","S",1815,"1970-01-01","2099-12-31",""
733008,733008,"Perphenazine","Drug","RxNorm","Ingredient","S",8076,"1970-01-01","2099-12-31",""
733301,733301,"Buspirone","Drug","RxNorm","Ingredient","S",1827,"1970-01-01","2099-12-31",""
733523,733523,"rivastigmine","Drug","RxNorm","Ingredient","S",183379,"1970-01-01","2099-12-31",""
733896,733896,"Phenelzine","Drug","RxNorm","Ingredient","S",8123,"1970-01-01","2099-12-31",""
734275,734275,"Phenobarbital","Drug","RxNorm","Ingredient","S",8134,"1970-01-01","2099-12-31",""
734354,734354,"pregabalin","Drug","RxNorm","Ingredient","S",187832,"2005-07-24","2099-12-31",""
735340,735340,"Phentermine","Drug","RxNorm","Ingredient","S",8152,"1970-01-01","2099-12-31",""
735843,735843,"natalizumab","Drug","RxNorm","Ingredient","S",354770,"1970-01-01","2099-12-31",""
735850,735850,"Disulfiram","Drug","RxNorm","Ingredient","S",3554,"1970-01-01","2099-12-31",""
735951,735951,"Riluzole","Drug","RxNorm","Ingredient","S",35623,"1970-01-01","2099-12-31",""
735979,735979,"Risperidone","Drug","RxNorm","Ingredient","S",35636,"1970-01-01","2099-12-31",""
738152,738152,"Doxapram","Drug","RxNorm","Ingredient","S",3637,"1970-01-01","2099-12-31",""
738156,738156,"Doxepin","Drug","RxNorm","Ingredient","S",3638,"1970-01-01","2099-12-31",""
738818,738818,"Doxylamine","Drug","RxNorm","Ingredient","S",3642,"1970-01-01","2099-12-31",""
739138,739138,"Sertraline","Drug","RxNorm","Ingredient","S",36437,"1970-01-01","2099-12-31",""
739323,739323,"Droperidol","Drug","RxNorm","Ingredient","S",3648,"1970-01-01","2099-12-31",""
739363,739363,"sibutramine","Drug","RxNorm","Ingredient","S",36514,"1970-01-01","2099-12-31",""
740275,740275,"Carbamazepine","Drug","RxNorm","Ingredient","S",2002,"1970-01-01","2099-12-31",""
740560,740560,"Carbidopa","Drug","RxNorm","Ingredient","S",2019,"1970-01-01","2099-12-31",""
740910,740910,"Phenytoin","Drug","RxNorm","Ingredient","S",8183,"1970-01-01","2099-12-31",""
740924,740924,"Edrophonium","Drug","RxNorm","Ingredient","S",3752,"1970-01-01","2099-12-31",""
741530,741530,"orlistat","Drug","RxNorm","Ingredient","S",37925,"1970-01-01","2099-12-31",""
742185,742185,"atomoxetine","Drug","RxNorm","Ingredient","S",38400,"1970-01-01","2099-12-31",""
742267,742267,"topiramate","Drug","RxNorm","Ingredient","S",38404,"1970-01-01","2099-12-31",""
742594,742594,"trichloroacetaldehyde","Drug","RxNorm","Ingredient","S",38574,"1970-01-01","2099-12-31",""
743196,743196,"Enflurane","Drug","RxNorm","Ingredient","S",3920,"1970-01-01","2099-12-31",""
743670,743670,"venlafaxine","Drug","RxNorm","Ingredient","S",39786,"1970-01-01","2099-12-31",""
744740,744740,"zolpidem","Drug","RxNorm","Ingredient","S",39993,"1970-01-01","2099-12-31",""
744798,744798,"zonisamide","Drug","RxNorm","Ingredient","S",39998,"1970-01-01","2099-12-31",""
745268,745268,"ergoloid mesylates, USP","Drug","RxNorm","Ingredient","S",4024,"1970-01-01","2099-12-31",""
745466,745466,"Valproate","Drug","RxNorm","Ingredient","S",40254,"1970-01-01","2099-12-31",""
745790,745790,"Pimozide","Drug","RxNorm","Ingredient","S",8331,"1970-01-01","2099-12-31",""
748010,748010,"Estazolam","Drug","RxNorm","Ingredient","S",4077,"1970-01-01","2099-12-31",""
749727,749727,"Ethchlorvynol","Drug","RxNorm","Ingredient","S",4118,"1970-01-01","2099-12-31",""
749910,749910,"Carisoprodol","Drug","RxNorm","Ingredient","S",2101,"1970-01-01","2099-12-31",""
750119,750119,"Ethosuximide","Drug","RxNorm","Ingredient","S",4135,"1970-01-01","2099-12-31",""
750146,750146,"Ethotoin","Drug","RxNorm","Ingredient","S",4136,"1970-01-01","2099-12-31",""
750982,750982,"Bupropion","Drug","RxNorm","Ingredient","S",42347,"1970-01-01","2099-12-31",""
751246,751246,"Lithium Carbonate","Drug","RxNorm","Ingredient","S",42351,"1970-01-01","2099-12-31",""
751347,751347,"Primidone","Drug","RxNorm","Ingredient","S",8691,"1970-01-01","2099-12-31",""
751412,751412,"Fluvoxamine","Drug","RxNorm","Ingredient","S",42355,"1970-01-01","2099-12-31",""
751698,751698,"Procaine","Drug","RxNorm","Ingredient","S",8701,"1970-01-01","2099-12-31",""
751889,751889,"Glatiramer","Drug","RxNorm","Ingredient","S",214582,"1970-01-01","2099-12-31",""
752061,752061,"Prochlorperazine","Drug","RxNorm","Ingredient","S",8704,"1970-01-01","2099-12-31",""
752276,752276,"Procyclidine","Drug","RxNorm","Ingredient","S",8718,"1970-01-01","2099-12-31",""
753626,753626,"Propofol","Drug","RxNorm","Ingredient","S",8782,"1970-01-01","2099-12-31",""
753860,753860,"Fenfluramine","Drug","RxNorm","Ingredient","S",4328,"1970-01-01","2099-12-31",""
754270,754270,"Protriptyline","Drug","RxNorm","Ingredient","S",8886,"1970-01-01","2099-12-31",""
755695,755695,"Fluoxetine","Drug","RxNorm","Ingredient","S",4493,"1970-01-01","2099-12-31",""
756018,756018,"Fluphenazine","Drug","RxNorm","Ingredient","S",4496,"1970-01-01","2099-12-31",""
756349,756349,"Flurazepam","Drug","RxNorm","Ingredient","S",4501,"1970-01-01","2099-12-31",""
757352,757352,"Eszopiclone","Drug","RxNorm","Ingredient","S",461016,"2005-07-24","2099-12-31",""
757627,757627,"Galantamine","Drug","RxNorm","Ingredient","S",4637,"1970-01-01","2099-12-31",""
757688,757688,"aripiprazole","Drug","RxNorm","Ingredient","S",89013,"1970-01-01","2099-12-31",""
759401,759401,"methsuximide","Drug","RxNorm","Ingredient","S",47858,"1970-01-01","2099-12-31",""
759740,759740,"Pyridostigmine","Drug","RxNorm","Ingredient","S",9000,"1970-01-01","2099-12-31",""
766067,766067,"Secobarbital","Drug","RxNorm","Ingredient","S",9624,"1970-01-01","2099-12-31",""
766209,766209,"Selegiline","Drug","RxNorm","Ingredient","S",9639,"1970-01-01","2099-12-31",""
766337,766337,"Guanidine","Drug","RxNorm","Ingredient","S",50675,"1970-01-01","2099-12-31",""
766529,766529,"Haloperidol","Drug","RxNorm","Ingredient","S",5093,"1970-01-01","2099-12-31",""
766814,766814,"quetiapine","Drug","RxNorm","Ingredient","S",51272,"1970-01-01","2099-12-31",""
767410,767410,"lithium citrate","Drug","RxNorm","Ingredient","S",52105,"1970-01-01","2099-12-31",""
769935,769935,"Sodium Oxybate","Drug","RxNorm","Ingredient","S",9899,"1970-01-01","2099-12-31",""
777221,777221,"Hydroxyzine","Drug","RxNorm","Ingredient","S",5553,"1970-01-01","2099-12-31",""
778268,778268,"Imipramine","Drug","RxNorm","Ingredient","S",5691,"1970-01-01","2099-12-31",""
778474,778474,"tizanidine","Drug","RxNorm","Ingredient","S",57258,"1970-01-01","2099-12-31",""
778711,778711,"cyclobenzaprine","Drug","RxNorm","Ingredient","S",21949,"1970-01-01","2099-12-31",""
780369,780369,"metaxalone","Drug","RxNorm","Ingredient","S",59078,"1970-01-01","2099-12-31",""
780442,780442,"varenicline","Drug","RxNorm","Ingredient","S",591622,"2006-07-09","2099-12-31",""
781039,781039,"Alprazolam","Drug","RxNorm","Ingredient","S",596,"1970-01-01","2099-12-31",""
781182,781182,"ramelteon","Drug","RxNorm","Ingredient","S",596205,"2005-12-04","2099-12-31",""
781705,781705,"Isocarboxazid","Drug","RxNorm","Ingredient","S",6011,"1970-01-01","2099-12-31",""
782043,782043,"Isoflurane","Drug","RxNorm","Ingredient","S",6026,"1970-01-01","2099-12-31",""
782211,782211,"entacapone","Drug","RxNorm","Ingredient","S",60307,"1970-01-01","2099-12-31",""
785649,785649,"Ketamine","Drug","RxNorm","Ingredient","S",6130,"1970-01-01","2099-12-31",""
785788,785788,"olanzapine","Drug","RxNorm","Ingredient","S",61381,"1970-01-01","2099-12-31",""
786426,786426,"Rotigotine","Drug","RxNorm","Ingredient","S",616739,"2007-07-29","2099-12-31",""
787362,787362,"Ambenonium","Drug","RxNorm","Ingredient","S",623,"1970-01-01","2099-12-31",""
787787,787787,"hyaluronate","Drug","RxNorm","Ingredient","S",62372,"2006-04-02","2099-12-31",""
789578,789578,"Levodopa","Drug","RxNorm","Ingredient","S",6375,"1970-01-01","2099-12-31",""
790253,790253,"clorazepate","Drug","RxNorm","Ingredient","S",2353,"1970-01-01","2099-12-31",""
791967,791967,"Lorazepam","Drug","RxNorm","Ingredient","S",6470,"1970-01-01","2099-12-31",""
792263,792263,"Loxapine","Drug","RxNorm","Ingredient","S",6475,"1970-01-01","2099-12-31",""
794147,794147,"Maprotiline","Drug","RxNorm","Ingredient","S",6646,"1970-01-01","2099-12-31",""
794229,794229,"Mazindol","Drug","RxNorm","Ingredient","S",6664,"1970-01-01","2099-12-31",""
794852,794852,"Chlorpromazine","Drug","RxNorm","Ingredient","S",2403,"1970-01-01","2099-12-31",""
795113,795113,"Chlorzoxazone","Drug","RxNorm","Ingredient","S",2410,"1970-01-01","2099-12-31",""
795661,795661,"felbamate","Drug","RxNorm","Ingredient","S",24812,"1970-01-01","2099-12-31",""
797399,797399,"gabapentin","Drug","RxNorm","Ingredient","S",25480,"1970-01-01","2099-12-31",""
797617,797617,"Citalopram","Drug","RxNorm","Ingredient","S",2556,"1970-01-01","2099-12-31",""
798336,798336,"Hyaluronan","Drug","RxNorm","Ingredient","S",258347,"2006-02-26","2099-12-31",""
798834,798834,"Clomipramine","Drug","RxNorm","Ingredient","S",2597,"1970-01-01","2099-12-31",""
798874,798874,"Clonazepam","Drug","RxNorm","Ingredient","S",2598,"1970-01-01","2099-12-31",""
800878,800878,"Clozapine","Drug","RxNorm","Ingredient","S",2626,"1970-01-01","2099-12-31",""
801396,801396,"halazepam","Drug","RxNorm","Ingredient","S",26412,"1970-01-01","2099-12-31",""
836208,836208,"Succinylcholine","Drug","RxNorm","Ingredient","S",10154,"1970-01-01","2099-12-31",""
836654,836654,"Tacrine","Drug","RxNorm","Ingredient","S",10318,"1970-01-01","2099-12-31",""
836715,836715,"Temazepam","Drug","RxNorm","Ingredient","S",10355,"1970-01-01","2099-12-31",""
836877,836877,"Tetrabenazine","Drug","RxNorm","Ingredient","S",10390,"1970-01-01","2099-12-31",""
837027,837027,"Apomorphine","Drug","RxNorm","Ingredient","S",1043,"1970-01-01","2099-12-31",""
900017,900017,"Cascara sagrada","Drug","RxNorm","Ingredient","S",66869,"1970-01-01","2099-12-31",""
900093,900093,"Casanthranol","Drug","RxNorm","Ingredient","S",66870,"1970-01-01","2099-12-31",""
901318,901318,"Sodium Ascorbate","Drug","RxNorm","Ingredient","S",267366,"1970-01-01","2099-12-31",""
901656,901656,"Menthol","Drug","RxNorm","Ingredient","S",6750,"1970-01-01","2099-12-31",""
901845,901845,"Colistin","Drug","RxNorm","Ingredient","S",2709,"1970-01-01","2099-12-31",""
902251,902251,"hypromellose","Drug","RxNorm","Ingredient","S",27334,"1970-01-01","2099-12-31",""
902427,902427,"Timolol","Drug","RxNorm","Ingredient","S",10600,"1970-01-01","2099-12-31",""
902616,902616,"Calamine","Drug","RxNorm","Ingredient","S",106212,"1970-01-01","2099-12-31",""
902722,902722,"Tobramycin","Drug","RxNorm","Ingredient","S",10627,"1970-01-01","2099-12-31",""
902938,902938,"ciclesonide","Drug","RxNorm","Ingredient","S",274964,"2006-01-15","2099-12-31",""
902950,902950,"Tolnaftate","Drug","RxNorm","Ingredient","S",10637,"1970-01-01","2099-12-31",""
903031,903031,"tiopronin","Drug","RxNorm","Ingredient","S",6765,"1970-01-01","2099-12-31",""
903459,903459,"Dolasetron","Drug","RxNorm","Ingredient","S",68091,"1970-01-01","2099-12-31",""
903643,903643,"Tretinoin","Drug","RxNorm","Ingredient","S",10753,"1970-01-01","2099-12-31",""
903893,903893,"emedastine","Drug","RxNorm","Ingredient","S",28144,"1970-01-01","2099-12-31",""
903963,903963,"Triamcinolone","Drug","RxNorm","Ingredient","S",10759,"1970-01-01","2099-12-31",""
904205,904205,"Apple pectin","Drug","RxNorm","Ingredient","S",283540,"1970-01-01","2099-12-31",""
904250,904250,"Methazolamide","Drug","RxNorm","Ingredient","S",6826,"1970-01-01","2099-12-31",""
904351,904351,"Aminolevulinic Acid","Drug","RxNorm","Ingredient","S",683,"1970-01-01","2099-12-31",""
904356,904356,"Methenamine","Drug","RxNorm","Ingredient","S",6832,"1970-01-01","2099-12-31",""
904453,904453,"Esomeprazole","Drug","RxNorm","Ingredient","S",283742,"1970-01-01","2099-12-31",""
904501,904501,"travoprost","Drug","RxNorm","Ingredient","S",283809,"1970-01-01","2099-12-31",""
904525,904525,"bimatoprost","Drug","RxNorm","Ingredient","S",283810,"1970-01-01","2099-12-31",""
904542,904542,"Triamterene","Drug","RxNorm","Ingredient","S",10763,"1970-01-01","2099-12-31",""
904639,904639,"Trichlormethiazide","Drug","RxNorm","Ingredient","S",10772,"1970-01-01","2099-12-31",""
904704,904704,"Mepenzolate","Drug","RxNorm","Ingredient","S",107770,"1970-01-01","2099-12-31",""
905078,905078,"Trifluridine","Drug","RxNorm","Ingredient","S",10803,"1970-01-01","2099-12-31",""
905151,905151,"Alclometasone","Drug","RxNorm","Ingredient","S",108088,"1970-01-01","2099-12-31",""
905223,905223,"Methoxsalen","Drug","RxNorm","Ingredient","S",6854,"1970-01-01","2099-12-31",""
905233,905233,"Mometasone","Drug","RxNorm","Ingredient","S",108118,"1970-01-01","2099-12-31",""
905273,905273,"Methyclothiazide","Drug","RxNorm","Ingredient","S",6860,"1970-01-01","2099-12-31",""
905371,905371,"Methylcellulose","Drug","RxNorm","Ingredient","S",6873,"1970-01-01","2099-12-31",""
905518,905518,"Methylene blue","Drug","RxNorm","Ingredient","S",6878,"1970-01-01","2099-12-31",""
905531,905531,"Metipranolol","Drug","RxNorm","Ingredient","S",10824,"1970-01-01","2099-12-31",""
906072,906072,"Tropicamide","Drug","RxNorm","Ingredient","S",10869,"1970-01-01","2099-12-31",""
906149,906149,"TRYPSIN","Drug","RxNorm","Ingredient","S",10890,"1970-01-01","2099-12-31",""
906780,906780,"Metoclopramide","Drug","RxNorm","Ingredient","S",6915,"1970-01-01","2099-12-31",""
906874,906874,"Oxyquinoline","Drug","RxNorm","Ingredient","S",110,"1970-01-01","2099-12-31",""
906902,906902,"Lactobacillus reuteri","Drug","RxNorm","Ingredient","S",285156,"2005-11-13","2099-12-31",""
906914,906914,"Urea","Drug","RxNorm","Ingredient","S",11002,"1970-01-01","2099-12-31",""
907013,907013,"Metolazone","Drug","RxNorm","Ingredient","S",6916,"1970-01-01","2099-12-31",""
907553,907553,"levocabastine","Drug","RxNorm","Ingredient","S",28627,"1970-01-01","2099-12-31",""
907879,907879,"Miconazole","Drug","RxNorm","Ingredient","S",6932,"1970-01-01","2099-12-31",""
908126,908126,"Vidarabine","Drug","RxNorm","Ingredient","S",11194,"1970-01-01","2099-12-31",""
